正しい文,誤用文,品詞情報,選択肢,新しいトーケン,変化されたトーケン,保存されたトーケン
よくない,いくない,"形容詞,自立,形容詞・アウオ段,連用テ接続,よい,助動詞,*,特殊・ナイ,基本形,ない","1,1,1,1,1,1,-1,1,0,1",[0],[],"[[1, 1]]"
いい,い,"形容詞,自立,形容詞・イイ,基本形,いい","1,1,1,0,1",[0],[],[]
なくても,ないでも,"形容詞,自立,形容詞・アウオ段,連用テ接続,ない,助詞,接続助詞,*,*,て,助詞,係助詞,*,*,も","1,1,1,1,1,1,1,-1,-1,1,1,1,-1,-1,1","[0, 1]",[],[]
がなくて,がないで,"助詞,格助詞,*,*,が,形容詞,自立,形容詞・アウオ段,連用テ接続,ない,助詞,接続助詞,*,*,て","1,1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,1","[1, 2]",[],"[[0, 0]]"
よくて,いくて,"形容詞,自立,形容詞・アウオ段,連用テ接続,よい,助詞,接続助詞,*,*,て","1,1,1,1,1,1,1,-1,-1,1",[0],[],"[[1, 1]]"

#,"いる・ある"
人がいる,人いる,"名詞,一般,*,*,人,助詞,格助詞,*,*,が,動詞,自立,一段,基本形,いる","1,0,-1,-1,0,1,1,-1,-1,1,1,1,1,0,1",[],[],"[[0, 0], [1, 2]]"
人がいます,人があります,"名詞,一般,*,*,人,助詞,格助詞,*,*,が,動詞,自立,一段,連用形,いる,助動詞,*,特殊・マス,基本形,ます","1,0,-1,-1,0,1,1,-1,-1,1,1,1,1,1,1,1,-1,1,0,1",[2],[],"[[0, 0], [1, 1], [3, 3]]"
始まったことがあり,始まったことがい,"動詞,自立,五段・ラ行,連用タ接続,始まる,助動詞,*,特殊・タ,基本形,た,名詞,非自立,*,*,こと,助詞,格助詞,*,*,が,動詞,自立,五段・ラ行,連用形,ある","1,0,0,1,0,1,-1,1,1,1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,1,1,1",[4],[],"[[0, 0], [1, 1], [2, 2], [3, 3]]"

#,"する"
します,すます,"動詞,自立,サ変・スル,連用形,する,助動詞,*,特殊・マス,基本形,ます","1,1,1,1,1,1,-1,0,0,0",[0],[],"[[1, 1]]"

#,"なさる"
なさいます,なさります,"動詞,自立,五段・ラ行特殊,連用形,なさる,助動詞,*,特殊・マス,基本形,ます","1,1,1,1,1,1,-1,1,0,1","[0, 1]",[],"[[2, 1]]"

#,"たくさん"
たくさんのところ,たくさんところ,"名詞,副詞可能,*,*,たくさん,助詞,連体化,*,*,の,名詞,非自立,*,*,ところ","1,1,-1,-1,1,1,1,-1,-1,1,1,0,-1,-1,0",[],[],"[[0, 0], [1, 2]]"

#,"かも"
降りるかも,降りますかも,"動詞,自立,一段,基本形,降りる,助詞,副助詞,*,*,かも","1,0,0,1,0,1,1,-1,-1,1",[1],"[[0, 0]]","[[2, 1]]"
死ぬかも,死にかも,"動詞,自立,五段・ナ行,基本形,死ぬ,助詞,副助詞,*,*,かも","1,0,0,1,0,1,1,-1,-1,1",[],"[[0, 0]]","[[1, 1]]"
かもしれ,かもわかり,"助詞,副助詞,*,*,かも,動詞,自立,一段,連用形,しれる","1,1,-1,-1,1,1,1,1,1,1",[1],"[[0, 0]]",[]

甘くてうまい,甘くうまい,"形容詞,自立,形容詞・アウオ段,連用テ接続,甘い,助詞,接続助詞,*,*,て,形容詞,自立,形容詞・アウオ段,基本形,うまい","1,0,0,1,0,1,1,-1,-1,1,1,0,0,0,0",[],[],"[[0, 0],[1, 2]]"
小さくなかっ,小さいくなかっ,"形容詞,自立,形容詞・アウオ段,連用テ接続,小さい,助動詞,*,特殊・ナイ,連用タ接続,ない","1,0,0,1,0,1,-1,1,0,1",[1],"[[0, 0]]","[[2, 1]]"

食べたかった,食べたいかった,"動詞,自立,一段,連用形,食べる,助動詞,*,特殊・タイ,連用タ接続,たい,助動詞,*,特殊・タ,基本形,た","1,0,0,1,0,1,-1,1,1,1,1,-1,1,0,1","[1, 2]",[],"[[0, 0], [3, 2]]"
しなかっ,しまなかっ,"動詞,自立,サ変・スル,未然形,する,助動詞,*,特殊・ナイ,連用タ接続,ない","1,1,1,1,1,1,-1,1,0,1",[0],[],"[[1, 1]]"
なかった,なかた,"形容詞,自立,形容詞・アウオ段,連用タ接続,ない,助動詞,*,特殊・タ,基本形,た","0,0,0,1,1,1,-1,1,1,1","[0, 1]",[],[]

飲みたくなかっ,飲みたなかっ,"動詞,自立,五段・マ行,連用形,飲む,助動詞,*,特殊・タイ,連用テ接続,たい,助動詞,*,特殊・ナイ,連用タ接続,ない","1,0,0,1,0,1,-1,1,1,1,1,-1,1,0,1",[1],[],"[[0, 0], [2, 2]]"
笑います,笑うです,"動詞,自立,五段・ワ行促音便,連用形,笑う,助動詞,*,特殊・マス,基本形,ます","1,0,0,1,0,1,-1,1,1,1",[1],"[[0, 0]]",[]
しか食べない,しか食べる,"助詞,係助詞,*,*,しか,動詞,自立,一段,未然形,食べる,助動詞,*,特殊・ナイ,基本形,ない","1,1,-1,-1,1,1,0,0,1,0,1,-1,1,1,1",[],"[[1, 1]]","[[0, 0]]"
しか食べません,しか食べます,"助詞,係助詞,*,*,しか,動詞,自立,一段,連用形,食べる,助動詞,*,特殊・マス,未然形,ます,助動詞,*,不変化型,基本形,ん","1,1,-1,-1,1,1,0,0,1,0,1,-1,1,1,1,1,-1,1,1,1",[],"[[2, 2]]","[[0, 0], [1, 1]]"
部に入る,部で入る,"名詞,一般,*,*,部,助詞,格助詞,*,*,に,動詞,自立,五段・ラ行,基本形,入る","1,0,-1,-1,0,1,1,-1,-1,1,1,1,1,0,1",[1],[],"[[0, 0], [2, 2]]"
部長に会う,部長を会う,"名詞,一般,*,*,部長,助詞,格助詞,*,*,に,動詞,自立,五段・ワ行促音便,基本形,会う","1,0,-1,-1,0,1,1,-1,-1,1,1,1,1,0,1",[1],[],"[[0, 0], [2, 2]]"
部長と会う,部長を会う,"名詞,一般,*,*,部長,助詞,格助詞,*,*,と,動詞,自立,五段・ワ行促音便,基本形,会う","1,0,-1,-1,0,1,1,-1,-1,1,1,1,1,0,1",[1],[],"[[0, 0], [2, 2]]"
静かです,静かなです,"名詞,形容動詞語幹,*,*,静か,助動詞,*,特殊・デス,基本形,です","1,1,-1,-1,0,1,-1,1,0,1",[1],[],"[[0, 0], [2, 1]]"
熱くなかっ,熱なかっ,"形容詞,自立,形容詞・アウオ段,連用テ接続,熱い,助動詞,*,特殊・ナイ,連用タ接続,ない","1,0,0,1,0,1,-1,1,0,1",[],"[[0, 0]]","[[1, 1]]"
辛くなかった,辛いじゃありませんでした,"形容詞,自立,形容詞・アウオ段,連用テ接続,辛い,助動詞,*,特殊・ナイ,連用タ接続,ない,助動詞,*,特殊・タ,基本形,た","1,0,0,1,0,1,-1,1,1,1,1,-1,1,1,1","[1, 2, 3, 4, 5]","[[0, 0]]","[[6, 2]]"
ないです,ないます,"形容詞,自立,形容詞・アウオ段,基本形,ない,助動詞,*,特殊・デス,基本形,です","1,0,0,1,0,1,-1,1,1,1",[1],[],"[[0, 0]]"
この安い,これ安い,"連体詞,*,*,*,この,形容詞,自立,形容詞・アウオ段,基本形,安い","1,-1,-1,-1,1,1,0,0,0,0",[0],[],"[[1, 1]]"
その安い,それ安い,"連体詞,*,*,*,その,形容詞,自立,形容詞・アウオ段,基本形,安い","1,-1,-1,-1,1,1,0,0,0,0",[0],[],"[[1, 1]]"
あの悲しい,あれ悲しい,"連体詞,*,*,*,あの,形容詞,自立,形容詞・イ段,基本形,悲しい","1,-1,-1,-1,1,1,0,0,1,0",[0],[],"[[1, 1]]"
元気なものです,元気にものです,"名詞,形容動詞語幹,*,*,元気,助動詞,*,特殊・ダ,体言接続,だ,名詞,非自立,*,*,もの,助動詞,*,特殊・デス,基本形,です","1,0,-1,-1,0,1,-1,1,1,1,1,0,-1,-1,0,1,-1,1,0,1",[1],[],"[[0, 0], [2, 2], [3, 3]]"
便利だ,便利いだ,"名詞,形容動詞語幹,*,*,便利,助動詞,*,特殊・ダ,基本形,だ","1,0,-1,-1,0,1,-1,1,0,1",[1],[],"[[0, 0], [2, 1]]"
のを教える,のが教える,"名詞,非自立,*,*,の,助詞,格助詞,*,*,を,動詞,自立,一段,基本形,教える","1,0,-1,-1,0,1,1,-1,-1,1,1,0,0,0,0",[1],[],"[[0, 0], [2, 2]]"
のが始まる,のを始まる,"名詞,非自立,*,*,の,助詞,格助詞,*,*,が,動詞,自立,五段・ラ行,基本形,始まる","1,0,-1,-1,0,1,1,-1,-1,1,1,0,0,0,0",[1],[],"[[0, 0], [2, 2]]"



